vessel,begin_date,begin_port_id,end_date,end_port_id
1,2019-01-01,138.0,2019-01-16,102.0
1,2019-01-18,102.0,2019-02-02,138.0
1,2019-02-15,138.0,2019-03-01,33.0
1,2019-03-02,33.0,2019-03-16,138.0
1,2019-03-18,138.0,2019-03-21,19.0
1,2019-03-22,19.0,2019-04-13,72.0
1,2019-04-15,72.0,2019-04-21,147.0
1,2019-05-07,147.0,2019-05-14,138.0
1,2019-05-15,138.0,2019-05-19,19.0
1,2019-05-21,19.0,2019-06-12,72.0
1,2019-06-17,72.0,2019-07-06,19.0
1,2019-07-09,19.0,2019-07-15,138.0
1,2019-07-17,138.0,2019-07-21,19.0
1,2019-07-23,19.0,2019-08-12,72.0
1,2019-08-19,72.0,2019-09-07,19.0
1,2019-09-11,19.0,2019-09-14,138.0
1,2019-09-16,138.0,2019-09-28,95.0
1,2019-10-01,95.0,2019-10-15,138.0
1,2019-10-17,138.0,2019-11-01,27.0
1,2019-11-02,27.0,2019-11-04,36.0
1,2019-11-04,36.0,2019-11-16,138.0
1,2019-11-18,138.0,2019-11-30,95.0
1,2019-12-03,95.0,2019-12-16,138.0
2,2019-01-14,13.0,2019-01-29,104.0
2,2019-01-30,104.0,2019-02-13,13.0
2,2019-02-15,13.0,2019-03-08,19.0
2,2019-03-10,19.0,2019-03-12,105.0
2,2019-03-12,105.0,2019-03-14,10.0
2,2019-03-17,10.0,2019-03-21,19.0
2,2019-03-22,19.0,2019-04-05,16.0
2,2019-04-10,16.0,2019-04-22,138.0
2,2019-04-24,138.0,2019-05-21,134.0
2,2019-05-23,134.0,2019-06-13,10.0
2,2019-07-12,10.0,2019-07-20,36.0
2,2019-07-27,36.0,2019-08-08,97.0
2,2019-08-09,97.0,2019-08-15,19.0
2,2019-08-16,19.0,2019-08-26,134.0
2,2019-08-27,134.0,2019-09-06,55.0
2,2019-09-11,55.0,2019-10-07,11.0
2,2019-10-08,11.0,2019-11-01,19.0
2,2019-11-05,19.0,2019-11-10,138.0
2,2019-11-11,138.0,2019-11-16,19.0
2,2019-11-20,19.0,2019-11-29,134.0
2,2019-11-30,134.0,2019-12-04,55.0
3,2019-01-09,60.0,2019-01-10,34.0
3,2019-01-11,34.0,2019-01-22,104.0
3,2019-01-25,104.0,2019-02-06,115.0
3,2019-02-10,115.0,2019-02-15,76.0
3,2019-02-16,76.0,2019-03-05,32.0
3,2019-03-06,32.0,2019-03-18,74.0
3,2019-03-20,74.0,2019-03-22,7.0
3,2019-03-22,7.0,2019-04-14,19.0
3,2019-04-15,19.0,2019-04-19,138.0
3,2019-04-21,138.0,2019-05-06,83.0
3,2019-05-07,83.0,2019-05-21,138.0
3,2019-05-23,138.0,2019-05-30,83.0
3,2019-05-31,83.0,2019-06-04,138.0
3,2019-06-05,138.0,2019-06-21,37.0
3,2019-06-27,37.0,2019-07-11,91.0
3,2019-07-13,91.0,2019-08-03,35.0
3,2019-08-04,35.0,2019-08-25,57.0
3,2019-08-26,57.0,2019-09-24,120.0
3,2019-10-01,120.0,2019-10-05,19.0
3,2019-10-06,19.0,2019-10-11,165.0
3,2019-10-16,165.0,2019-11-04,37.0
3,2019-11-05,37.0,2019-11-15,23.0
3,2019-11-17,23.0,2019-11-30,147.0
4,2019-01-02,99.0,2019-01-25,57.0
4,2019-01-26,57.0,2019-02-15,115.0
4,2019-02-16,115.0,2019-02-21,7.0
4,2019-02-22,7.0,2019-03-06,104.0
4,2019-03-13,104.0,2019-03-26,13.0
4,2019-03-29,13.0,2019-04-18,19.0
4,2019-04-20,19.0,2019-04-24,138.0
4,2019-04-25,138.0,2019-04-30,19.0
4,2019-05-02,19.0,2019-05-13,134.0
4,2019-05-14,134.0,2019-05-31,10.0
4,2019-06-04,10.0,2019-06-13,20.0
4,2019-06-14,20.0,2019-06-25,138.0
4,2019-06-28,138.0,2019-07-24,134.0
4,2019-07-25,134.0,2019-07-30,55.0
4,2019-08-08,55.0,2019-09-30,91.0
4,2019-10-02,91.0,2019-10-26,115.0
4,2019-10-27,115.0,2019-11-05,34.0
4,2019-11-06,34.0,2019-11-08,58.0
4,2019-11-08,58.0,2019-12-01,55.0
4,2019-12-02,55.0,2019-12-27,18.0
5,2019-01-18,104.0,2019-02-02,29.0
5,2019-02-04,29.0,2019-02-14,99.0
5,2019-02-19,99.0,2019-03-03,149.0
5,2019-03-05,149.0,2019-04-04,91.0
5,2019-04-06,91.0,2019-04-21,83.0
5,2019-04-22,83.0,2019-04-24,138.0
5,2019-04-29,138.0,2019-05-22,134.0
5,2019-05-27,134.0,2019-06-20,10.0
5,2019-06-24,10.0,2019-07-05,134.0
5,2019-07-06,134.0,2019-07-26,97.0
5,2019-07-29,97.0,2019-08-06,83.0
5,2019-08-07,83.0,2019-08-09,138.0
5,2019-08-12,138.0,2019-08-30,56.0
5,2019-08-31,56.0,2019-09-02,37.0
5,2019-09-02,37.0,2019-09-04,84.0
5,2019-09-08,84.0,2019-09-27,138.0
5,2019-09-28,138.0,2019-10-03,19.0
5,2019-10-04,19.0,2019-10-15,134.0
5,2019-10-16,134.0,2019-10-18,122.0
5,2019-10-19,122.0,2019-10-22,55.0
5,2019-10-23,55.0,2019-11-16,36.0
5,2019-11-21,36.0,2019-11-23,87.0
5,2019-11-24,87.0,2019-12-16,10.0
6,2019-01-10,7.0,2019-01-16,115.0
6,2019-01-20,115.0,2019-02-03,115.0
6,2019-02-23,54.0,2019-03-02,99.0
6,2019-03-16,32.0,2019-03-25,11.0
6,2019-03-26,11.0,2019-04-03,90.0
6,2019-04-19,90.0,2019-04-28,23.0
6,2019-04-29,23.0,2019-05-13,32.0
6,2019-05-15,32.0,2019-05-27,11.0
6,2019-05-28,11.0,2019-06-10,99.0
6,2019-06-13,32.0,2019-06-27,29.0
6,2019-06-28,29.0,2019-07-06,32.0
6,2019-07-07,32.0,2019-07-16,149.0
6,2019-07-18,149.0,2019-07-21,34.0
6,2019-07-21,34.0,2019-07-30,73.0
6,2019-07-31,73.0,2019-08-08,22.0
6,2019-08-09,22.0,2019-08-13,34.0
6,2019-08-31,34.0,2019-09-27,19.0
6,2019-09-29,19.0,2019-10-06,138.0
6,2019-10-07,138.0,2019-11-26,19.0
6,2019-11-26,19.0,2019-12-04,175.0
6,2019-12-05,175.0,2019-12-22,82.0
7,2019-01-06,10.0,2019-01-28,91.0
7,2019-01-29,91.0,2019-02-16,83.0
7,2019-02-19,83.0,2019-02-22,138.0
7,2019-02-25,138.0,2019-03-07,10.0
7,2019-03-09,10.0,2019-04-05,134.0
7,2019-04-06,134.0,2019-04-13,19.0
7,2019-04-13,19.0,2019-04-18,10.0
7,2019-04-19,10.0,2019-05-02,105.0
7,2019-05-03,105.0,2019-05-06,10.0
7,2019-05-08,10.0,2019-05-23,87.0
7,2019-05-26,87.0,2019-06-05,10.0
7,2019-06-07,10.0,2019-06-17,95.0
7,2019-06-20,95.0,2019-07-03,10.0
7,2019-07-22,10.0,2019-08-03,20.0
7,2019-08-03,20.0,2019-08-14,10.0
7,2019-08-15,10.0,2019-08-25,95.0
7,2019-08-26,95.0,2019-09-09,91.0
7,2019-09-11,91.0,2019-10-03,23.0
7,2019-10-05,23.0,2019-10-31,91.0
7,2019-11-01,91.0,2019-11-26,120.0
7,2019-11-27,120.0,2019-12-03,19.0
7,2019-12-09,19.0,2019-12-14,165.0
8,2019-01-26,10.0,2019-02-03,93.0
8,2019-02-07,93.0,2019-02-15,138.0
8,2019-02-19,138.0,2019-03-07,82.0
8,2019-03-08,82.0,2019-03-12,37.0
8,2019-03-12,37.0,2019-03-24,115.0
8,2019-03-26,115.0,2019-03-29,90.0
8,2019-04-07,90.0,2019-04-13,18.0
8,2019-04-18,18.0,2019-04-27,32.0
8,2019-04-28,32.0,2019-05-07,154.0
8,2019-05-09,154.0,2019-05-13,157.0
8,2019-05-14,157.0,2019-05-26,168.0
8,2019-05-26,168.0,2019-06-19,91.0
8,2019-06-21,91.0,2019-07-11,126.0
8,2019-07-12,126.0,2019-08-01,57.0
